Name	Set	ImageFile	Type	Series	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability1	Ability2	Ability3
																	
																	
7th Kagero-class Destroyer, Hatsukaze	All	KCS25-E006	CH	KanColle	Y	R	KC/S25-E006	0	0	2000	1	0	Fleet Girl, Destroyer		[CONT]All of your other [Fleet Girl] characters get +500 power.	[AUTO]During the attack phase, when your character or your opponent's character is returned to hand from the waiting room, all of that player's characters get -3 soul until end of turn.	
 9th Fubuki-class Destroyer, Isonami	All	KCS25-E106	CH	KanColle	R	C	KC/S25-E106	0	0	2500	1	0	Fleet Girl, Destroyer		[CONT]All of your other ?Fleet Girl? characters get +500 power.	[AUTO]When this card is placed on the stage from your hand, reveal the top card of your deck. If that card is not a [Fleet Girl] character, [REST]this card. (The revealed card is returned to its original place)	
Akatsuki, A Moment in Winter	All	KCS31-040	CH	KanColle	G	U	KC/S31-040	0	0	2000	1	0	Fleet Girl, Destroyer		[AUTO][Place 1 card into Waiting Room] When this card is placed on Stage from Hand, you may pay the cost. If you did, look up to the top 4 cards of your Deck, choose up to 1 [Fleet Girl] Character and show it to your opponent, add it to Hand, place the remaining cards into Waiting Room.		
Uzuki, 4th Mutsuki-class Destroyer	All	KCS31-064	CH	KanColle	R	U	KC/S31-064	0	0	500	1	0	Fleet Girl, Destroyer		[CONT]When the [START] Cost of a Character from your Hand or Stage is being paid, you may place 1 marker under this card into Waiting Room instead of 1 Stock.	[AUTO] When this card is placed on Stage from Hand, choose 1 [Uzuki, 4th Mutsuki-class Destroyer] from your Waiting Room, you may place it under this card faced down as a marker.	[AUTO]This ability can only be activated once each turn. When you use [START], choose 1 of your Character, during that turn, it gets +1000 Power.
Shiratsuyu Kai, Pride of Nameship	All	KCS31-079	CH	KanColle	B	R	KC/S31-079	0	0	2500	1	0	Fleet Girl, Destroyer		[AUTO] At the beginning of your opponent's Attack Phase, if this card is in the Front Row, place the top card of your Deck into Waiting Room. If that card is Level 1 or higher, place this card into Waiting Room. If that card is Level 0 or lower, you may move this card into another empty slot in the Front Row. ?iClimax is treated as Level 0?j	[S ]CONCENTRATION ?m(1) REST 2 of your Characters?n Flip the top 4 cards of your Deck, place them into Waiting Room. For each Climax among those cards, draw up to 1 card.	
Kawakaze, 9th Shiratsuyu-class Destroyer	All	KCS42-076	CH	KanColle	B	R	KC/S42-076	0	0	2000	1	0	Fleet Girl, Destroyer		[AUTO]?mPlace this card into Clock?n When this card becomes REVERSE in battle, you may pay the Cost. If you did, reveal the top card of your Deck. If that card is a [Destroyer] Character, add it to Hand. (If not, return revealed card to its original position)		d 
Urakaze in the Middle of the Festival	All	KCS42-003	CH	KanColle	Y	R	KC/S42-003	1	0	4000	1	0	Fleet Girl, Destroyer		[CONT]For each of your other [Destroyer] Characters, this card gets +500 Power.	[AUTO] When this card is placed on Stage from Hand, during this turn, this card gets +1500 Power.	
Teruzuki, 2nd Akizuki-class Destroyer	All	KCS42-014	CH	KanColle	Y	U	KC/S42-014	1	0	4500	1	0	Fleet Girl, Destroyer		[AUTO] When this card attacks, if [Main Gun, Prepare for Anti-Air Combat!] is in the Climax slot, reveal the top card of your Deck. If that card is a [Fleet Girl] Character, add it to Hand. (If not, return revealed card to its original position)	[AUTO]ENCORE [Place 1 Character from Hand into Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this Cost. If you do, place this card in its previous slot in REST)	
